Timecode List:,00:00:02.375,00:00:04.583,00:00:08.375,00:00:10.500,00:00:12.042,00:00:13.917,00:00:16.000,00:00:16.792,00:00:17.500,00:00:20.208,00:00:22.458
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,57,00:00:02.375,2.375,57,00:00:02.375,2.375
2,58,00:00:02.375,2.375,110,00:00:04.583,4.583,53,00:00:02.208,2.208
3,111,00:00:04.583,4.583,201,00:00:08.375,8.375,91,00:00:03.792,3.792
4,202,00:00:08.375,8.375,252,00:00:10.500,10.500,51,00:00:02.125,2.125
5,253,00:00:10.500,10.500,289,00:00:12.042,12.042,37,00:00:01.542,1.542
6,290,00:00:12.042,12.042,334,00:00:13.917,13.917,45,00:00:01.875,1.875
7,335,00:00:13.917,13.917,384,00:00:16.000,16.000,50,00:00:02.083,2.083
8,385,00:00:16.000,16.000,403,00:00:16.792,16.792,19,00:00:00.792,0.792
9,404,00:00:16.792,16.792,420,00:00:17.500,17.500,17,00:00:00.708,0.708
10,421,00:00:17.500,17.500,485,00:00:20.208,20.208,65,00:00:02.708,2.708
11,486,00:00:20.208,20.208,539,00:00:22.458,22.458,54,00:00:02.250,2.250
12,540,00:00:22.458,22.458,573,00:00:23.875,23.875,34,00:00:01.417,1.417
