Timecode List:,00:00:01.633,00:00:04.300,00:00:07.067,00:00:09.000,00:00:10.600,00:00:11.600,00:00:13.367,00:00:15.767,00:00:17.800,00:00:18.567,00:00:20.600,00:00:22.300,00:00:23.333,00:00:24.567,00:00:26.067,00:00:27.667,00:00:28.500,00:00:29.733,00:00:34.067,00:00:35.300,00:00:36.000,00:00:37.300,00:00:38.100,00:00:40.167,00:00:41.700,00:00:42.333,00:00:44.267,00:00:45.233,00:00:46.233,00:00:47.233,00:00:48.433,00:00:49.700,00:00:51.433,00:00:53.333,00:00:54.933,00:00:56.300,00:00:58.467,00:01:00.167,00:01:01.233,00:01:03.067,00:01:04.467,00:01:06.333,00:01:07.700,00:01:10.400,00:01:11.733,00:01:13.267,00:01:16.433,00:01:17.067,00:01:19.167,00:01:22.067,00:01:23.367,00:01:24.700,00:01:27.767,00:01:28.433,00:01:29.133,00:01:34.267,00:01:35.267,00:01:37.033,00:01:39.067,00:01:42.400,00:01:44.700,00:01:47.900,00:01:49.367,00:01:51.033,00:01:54.800,00:01:57.867,00:02:00.233,00:02:03.433,00:02:08.033,00:02:08.867,00:02:10.767,00:02:12.933,00:02:14.467,00:02:15.633,00:02:21.333,00:02:23.767
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,49,00:00:01.633,1.633,49,00:00:01.633,1.633
2,50,00:00:01.633,1.633,129,00:00:04.300,4.300,80,00:00:02.667,2.667
3,130,00:00:04.300,4.300,212,00:00:07.067,7.067,83,00:00:02.767,2.767
4,213,00:00:07.067,7.067,270,00:00:09.000,9.000,58,00:00:01.933,1.933
5,271,00:00:09.000,9.000,318,00:00:10.600,10.600,48,00:00:01.600,1.600
6,319,00:00:10.600,10.600,348,00:00:11.600,11.600,30,00:00:01.000,1.000
7,349,00:00:11.600,11.600,401,00:00:13.367,13.367,53,00:00:01.767,1.767
8,402,00:00:13.367,13.367,473,00:00:15.767,15.767,72,00:00:02.400,2.400
9,474,00:00:15.767,15.767,534,00:00:17.800,17.800,61,00:00:02.033,2.033
10,535,00:00:17.800,17.800,557,00:00:18.567,18.567,23,00:00:00.767,0.767
11,558,00:00:18.567,18.567,618,00:00:20.600,20.600,61,00:00:02.033,2.033
12,619,00:00:20.600,20.600,669,00:00:22.300,22.300,51,00:00:01.700,1.700
13,670,00:00:22.300,22.300,700,00:00:23.333,23.333,31,00:00:01.033,1.033
14,701,00:00:23.333,23.333,737,00:00:24.567,24.567,37,00:00:01.233,1.233
15,738,00:00:24.567,24.567,782,00:00:26.067,26.067,45,00:00:01.500,1.500
16,783,00:00:26.067,26.067,830,00:00:27.667,27.667,48,00:00:01.600,1.600
17,831,00:00:27.667,27.667,855,00:00:28.500,28.500,25,00:00:00.833,0.833
18,856,00:00:28.500,28.500,892,00:00:29.733,29.733,37,00:00:01.233,1.233
19,893,00:00:29.733,29.733,1022,00:00:34.067,34.067,130,00:00:04.333,4.333
20,1023,00:00:34.067,34.067,1059,00:00:35.300,35.300,37,00:00:01.233,1.233
21,1060,00:00:35.300,35.300,1080,00:00:36.000,36.000,21,00:00:00.700,0.700
22,1081,00:00:36.000,36.000,1119,00:00:37.300,37.300,39,00:00:01.300,1.300
23,1120,00:00:37.300,37.300,1143,00:00:38.100,38.100,24,00:00:00.800,0.800
24,1144,00:00:38.100,38.100,1205,00:00:40.167,40.167,62,00:00:02.067,2.067
25,1206,00:00:40.167,40.167,1251,00:00:41.700,41.700,46,00:00:01.533,1.533
26,1252,00:00:41.700,41.700,1270,00:00:42.333,42.333,19,00:00:00.633,0.633
27,1271,00:00:42.333,42.333,1328,00:00:44.267,44.267,58,00:00:01.933,1.933
28,1329,00:00:44.267,44.267,1357,00:00:45.233,45.233,29,00:00:00.967,0.967
29,1358,00:00:45.233,45.233,1387,00:00:46.233,46.233,30,00:00:01.000,1.000
30,1388,00:00:46.233,46.233,1417,00:00:47.233,47.233,30,00:00:01.000,1.000
31,1418,00:00:47.233,47.233,1453,00:00:48.433,48.433,36,00:00:01.200,1.200
32,1454,00:00:48.433,48.433,1491,00:00:49.700,49.700,38,00:00:01.267,1.267
33,1492,00:00:49.700,49.700,1543,00:00:51.433,51.433,52,00:00:01.733,1.733
34,1544,00:00:51.433,51.433,1600,00:00:53.333,53.333,57,00:00:01.900,1.900
35,1601,00:00:53.333,53.333,1648,00:00:54.933,54.933,48,00:00:01.600,1.600
36,1649,00:00:54.933,54.933,1689,00:00:56.300,56.300,41,00:00:01.367,1.367
37,1690,00:00:56.300,56.300,1754,00:00:58.467,58.467,65,00:00:02.167,2.167
38,1755,00:00:58.467,58.467,1805,00:01:00.167,60.167,51,00:00:01.700,1.700
39,1806,00:01:00.167,60.167,1837,00:01:01.233,61.233,32,00:00:01.067,1.067
40,1838,00:01:01.233,61.233,1892,00:01:03.067,63.067,55,00:00:01.833,1.833
41,1893,00:01:03.067,63.067,1934,00:01:04.467,64.467,42,00:00:01.400,1.400
42,1935,00:01:04.467,64.467,1990,00:01:06.333,66.333,56,00:00:01.867,1.867
43,1991,00:01:06.333,66.333,2031,00:01:07.700,67.700,41,00:00:01.367,1.367
44,2032,00:01:07.700,67.700,2112,00:01:10.400,70.400,81,00:00:02.700,2.700
45,2113,00:01:10.400,70.400,2152,00:01:11.733,71.733,40,00:00:01.333,1.333
46,2153,00:01:11.733,71.733,2198,00:01:13.267,73.267,46,00:00:01.533,1.533
47,2199,00:01:13.267,73.267,2293,00:01:16.433,76.433,95,00:00:03.167,3.167
48,2294,00:01:16.433,76.433,2312,00:01:17.067,77.067,19,00:00:00.633,0.633
49,2313,00:01:17.067,77.067,2375,00:01:19.167,79.167,63,00:00:02.100,2.100
50,2376,00:01:19.167,79.167,2462,00:01:22.067,82.067,87,00:00:02.900,2.900
51,2463,00:01:22.067,82.067,2501,00:01:23.367,83.367,39,00:00:01.300,1.300
52,2502,00:01:23.367,83.367,2541,00:01:24.700,84.700,40,00:00:01.333,1.333
53,2542,00:01:24.700,84.700,2633,00:01:27.767,87.767,92,00:00:03.067,3.067
